|index|metroId|metropolitanAreas|latitude|longitude|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
107|107|DE038|Ruhr|51.51751795|7.1439182017132445|8.0|1508.0|946.0|1.1|1137.0|15.1|6.0|6.2|6.5|0.34017595307917886|18.5|2.2903452687618064|0.015746683228799015|2.042798671933139
108|108|DE039|Kiel|54.3227085|10.135555|1.0|149.0|40.0|39.7|188.0|13.0|0.8|0.8|0.8|0.04438486744116771|14.4|1.734421174652241|0.011924569275677485|1.5469603297269447
109|109|DE040|Saarbrucken|49.234362|6.996378999999999|4.0|312.0|50.0|4.6|520.0|11.6|0.9|1.0|1.1|0.203125|53.7|0.793586810922205|0.005456103189586124|0.7078138416623733
110|110|DE042|Koblenz|50.3533278|7.5943951|5.0|150.0|36.0|27.7|345.0|11.6|0.4|0.4|0.4|0.16286644951140064|36.1|0.4758420917053065|0.0032715306234432423|0.4244118152155246
111|111|DE043|Rostock|54.09244449999999|12.1286127|7.0|107.0|40.0|28.9|115.0|13.0|0.5|0.5|0.5|0.02979671400724032|33.5|1.8553191653786705|0.012755772495965996|1.654791344667697
112|112|DE044|Kaiserslautern|49.4432174|7.7689951|5.0|121.0|31.0|54.7|201.0|11.0|0.3|0.3|0.3|0.08943089430894309|64.5|0.6990383822771766|0.00480605964551434|0.6234844581830671
113|113|DE045|Iserlohn|51.3746778|7.6999713000000005|4.0|124.0|25.0|3.6|393.0|13.9|0.5|0.5|0.5|0.1169811320754717|43.5|0.5476575648291259|0.003765279544896674|0.4884652813555441
114|114|DE052|Flensburg|54.78330210000001|9.4333264|0.0|76.0|16.0|48.5|137.0|12.3|0.4|0.3|0.4|0.03732809430255403|12.8|1.0519158509359436|0.007232178446612857|0.9382219932451772
115|115|DE054|Constance|47.659216|9.175071800000001|2.0|82.0|12.0|9.2|332.0|11.7|0.3|0.3|0.3|0.1003671970624235|39.0|0.42210965138244894|0.002902106969981682|0.3764869196863015
116|116|DE057|Giessen|50.5862066|8.6742306|10.0|92.0|24.0|7.1|298.0|13.8|0.3|0.3|0.3|0.10772833723653395|27.7|0.44122600034346554|0.00303353653900166|0.3935371229034289
117|117|DE061|Aschaffenburg|49.974054200000005|9.1493636|9.0|136.0|20.0|20.9|250.0|11.9|0.5|0.5|0.4|0.09220338983050848|37.0|0.7620706680405289|0.005239422008228863|0.6797040471692714
118|118|DE064|Neubrandenburg|53.557445799999996|13.260278099999999|9.0|98.0|15.0|62.1|48.0|14.2|0.3|0.3|0.4|0.017866909753874203|12.8|2.8338695689507127|0.019483545569583264|2.527577422863358
119|119|DE069|Rosenheim|47.853927299999995|12.127262|2.0|94.0|13.0|15.8|210.0|12.4|0.4|0.4|0.4|0.06368563685636856|13.8|0.7625873261205564|0.0052429741587429165|0.6801648634724369
120|120|DE073|Offenburg|48.471655600000005|7.9443779999999995|8.0|172.0|19.0|12.6|222.0|11.7|0.5|0.5|0.5|0.09257265877287406|30.5|0.9599507126910527|0.00659989565511134|0.856196691281699
121|121|DE074|Gorlitz|51.1563185|14.991017999999999|36.0|92.0|13.0|20.6|124.0|15.1|0.3|0.3|0.4|0.04364326375711575|7.1|1.0891152326979219|0.007487933283624707|0.9714007670731009
122|122|DE077|Schweinfurt|50.049994500000004|10.233302|8.0|133.0|16.0|28.4|133.0|11.8|0.3|0.3|0.4|0.06610337972166998|21.2|1.0395160570152842|0.0071469268342755745|0.9271624019692026
123|123|DE079|Wetzlar|50.5525346|8.5074406|4.0|105.0|20.0|9.2|236.0|14.6|0.3|0.3|0.3|0.09868421052631579|32.7|0.5497241971492358|0.003779488146952888|0.49030854656820655
124|124|DE084|Mannheim-Ludwigshafen|49.4808261|8.4565021|11.0|495.0|188.0|8.8|563.0|13.1|1.4|1.4|1.4|0.24240940254652302|9.7|1.0550157994161085|0.007253491349697178|0.9409868910641709
125|125|DE504|Muenster|51.9625101|7.6251879|10.0|164.0|74.0|2.3|363.0|13.7|0.6|0.7|0.5|0.11598302687411598|11.1|0.7305545251588528|0.005022740826871601|0.6515942526761692
126|126|DE507|Aachen|50.776351|6.083862|3.0|138.0|47.0|1.8|769.0|9.7|0.7|0.7|0.6|0.1954674220963173|22.2|0.3647606044993989|0.002507818262921747|0.325336310034919
127|127|DE510|Lubeck|53.866443999999994|10.684738000000001|3.0|120.0|52.0|9.0|257.0|12.3|0.5|0.5|0.6|0.07523510971786834|18.7|0.8240696376438262|0.005665680069915279|0.7350020035491442
128|128|DE513|Kassel|51.3154546|9.492409599999998|11.0|125.0|45.0|7.2|306.0|12.8|0.5|0.5|0.6|0.08941344778254649|31.5|0.7222879958784131|0.004965906418646746|0.6442211918255194
129|129|DE517|Osnabruck|52.266837|8.049741000000001|7.0|153.0|44.0|6.9|226.0|12.6|0.7|0.6|0.6|0.06839517210549843|14.4|1.1557641250214665|0.007946160699937605|1.0308460701814643
130|130|DE520|Oldenburg (Oldenburg)|48.1090631|13.714611300000001|7.0|150.0|43.0|5.4|213.0|13.5|0.5|0.5|0.5|0.079155672823219|4.7|0.9790670616520692|0.006731325224131318|0.8732468944988264
131|131|DE522|Heidelberg|49.40935820000001|8.694724|11.0|225.0|33.0|8.0|585.0|12.5|0.8|0.9|0.8|0.1924721984602224|47.4|0.6039732955521209|0.004152463950928502|0.5386942584005954
132|132|DE523|Paderborn|51.71895955|8.764869778177559|10.0|96.0|44.0|3.4|239.0|13.2|0.4|0.4|0.3|0.07710843373493977|15.4|0.6432393096342092|0.004422427389996566|0.5737162974411816
133|133|DE524|Wurzburg|49.79245|9.932966|9.0|248.0|35.0|27.7|163.0|13.9|0.6|0.6|0.6|0.08112528622832843|16.0|1.5794237506439979|0.010858924121461446|1.4087154387772625
134|134|DE527|Bremerhaven|53.552226399999995|8.5865509|4.0|89.0|27.0|16.6|144.0|12.9|0.4|0.4|0.4|0.04174484052532833|8.3|1.1015150266185814|0.0075731848959619905|0.9824603583490755
